Area,Sex,Yr,Age,F
2,1,2015,14,0.06067675
1,2,2015,14,0.037407
2,2,2015,14,0.10230575
1,1,2016,14,0.01559825
2,1,2016,14,0.045363
1,2,2016,14,0.0416425
2,2,2016,14,0.0829927500000001
1,1,2017,14,0.01676325
2,1,2017,14,0.03845075
1,2,2017,14,0.0472622500000001
2,2,2017,14,0.081379
1,1,2018,14,0.01661975
2,1,2018,14,0.05129725
1,2,2018,14,0.048233
2,2,2018,14,0.102642
1,1,2019,14,0.0181095
2,1,2019,14,0.04308625
1,2,2019,14,0.052848
2,2,2019,14,0.08085425
1,1,2020,14,0.0116085
2,1,2020,14,0.04604475
1,2,2020,14,0.03153125
2,2,2020,14,0.0778652500000001
1,1,2021,14,0.01225525
2,1,2021,14,0.04296625
1,2,2021,14,0.031736
2,2,2021,14,0.073419
1,1,2022,14,0.01246675
2,1,2022,14,0.0389885
1,2,2022,14,0.0370005
2,2,2022,14,0.0699845
1,1,2023,14,0.019838
2,1,2023,14,0.043571
1,2,2023,14,0.057245
2,2,2023,14,0.0736742500000001
1,1,1952,15,6.77499999999776e-05
2,1,1952,15,7.49999999993811e-07
1,2,1952,15,0.000285750000000029
2,2,1952,15,2.49999999998862e-06
1,1,1953,15,0.000216250000000001
2,1,1953,15,3.000000000003e-06
1,2,1953,15,0.000802000000000025
2,2,1953,15,1.24999999999986e-05
1,1,1954,15,0.001194
2,1,1954,15,0.000644249999999985
1,2,1954,15,0.00409549999999997
2,2,1954,15,0.000999750000000021
1,1,1955,15,0.000660749999999988
2,1,1955,15,0.00234324999999999
1,2,1955,15,0.00217400000000001
2,2,1955,15,0.00384224999999999
1,1,1956,15,0.00038125
2,1,1956,15,0.00220699999999999
1,2,1956,15,0.00132975000000002
2,2,1956,15,0.00338849999999996
1,1,1957,15,0.000596749999999979
2,1,1957,15,0.000712999999999991
1,2,1957,15,0.00216274999999999
2,2,1957,15,0.00145250000000002
1,1,1958,15,0.001331
2,1,1958,15,0.00167424999999999
1,2,1958,15,0.00451600000000002
2,2,1958,15,0.00287350000000003
1,1,1959,15,0.00092399999999998
2,1,1959,15,0.00265599999999999
1,2,1959,15,0.00305424999999998
2,2,1959,15,0.00460874999999999
1,1,1960,15,0.000810249999999985
2,1,1960,15,0.00188149999999998
1,2,1960,15,0.00270874999999998
2,2,1960,15,0.00298225000000002
1,1,1961,15,0.00104674999999999
2,1,1961,15,0.00326425
1,2,1961,15,0.00379924999999998
2,2,1961,15,0.00525825000000002
1,1,1962,15,0.003081
2,1,1962,15,0.00189175
1,2,1962,15,0.00837099999999996
2,2,1962,15,0.00226025000000002
1,1,1963,15,0.00316174999999999
2,1,1963,15,0.00223625
1,2,1963,15,0.00947674999999998
2,2,1963,15,0.00442049999999999
1,1,1964,15,0.00212324999999999
2,1,1964,15,0.0010095
1,2,1964,15,0.00593974999999997
2,2,1964,15,0.00181324999999999
1,1,1965,15,0.00550200000000001
2,1,1965,15,0.00150549999999999
1,2,1965,15,0.01731175
2,2,1965,15,0.00266625000000004
1,1,1966,15,0.00517524999999999
2,1,1966,15,0.00340574999999999
1,2,1966,15,0.01671675
2,2,1966,15,0.00528849999999997
1,1,1967,15,0.00370799999999999
2,1,1967,15,0.00451449999999998
1,2,1967,15,0.01129025
2,2,1967,15,0.00613249999999999
1,1,1968,15,0.00757849999999999
2,1,1968,15,0.00433449999999999
1,2,1968,15,0.02421075
2,2,1968,15,0.00445299999999998
1,1,1969,15,0.00494649999999999
2,1,1969,15,0.00884075000000001
1,2,1969,15,0.015377
2,2,1969,15,0.00728499999999999
1,1,1970,15,0.00531399999999999
2,1,1970,15,0.00485249999999998
