Fleet,Length,Sel
18,65.5,0.111386
19,65.5,0.00238066
20,65.5,0.015937
21,65.5,0.00318687
1,66.5,0.117617
2,66.5,0.0184234
3,66.5,0.0187062
4,66.5,0.00948387
5,66.5,0.0184234
6,66.5,0.0187062
7,66.5,0.0184234
8,66.5,0.117617
9,66.5,0.0184234
10,66.5,0.117617
11,66.5,0.00269248
12,66.5,0.000687244
13,66.5,0.00384817
14,66.5,0.000687244
15,66.5,0.117617
16,66.5,0.00269248
17,66.5,0.000687244
18,66.5,0.117617
19,66.5,0.00269248
20,66.5,0.0184234
21,66.5,0.00384817
1,67.5,0.124112
2,67.5,0.0212428
3,67.5,0.0198355
4,67.5,0.0108364
5,67.5,0.0212428
6,67.5,0.0198355
7,67.5,0.0212428
8,67.5,0.124112
9,67.5,0.0212428
10,67.5,0.124112
11,67.5,0.0030413
12,67.5,0.000719338
13,67.5,0.00463209
14,67.5,0.000719338
15,67.5,0.124112
16,67.5,0.0030413
17,67.5,0.000719338
18,67.5,0.124112
19,67.5,0.0030413
20,67.5,0.0212428
21,67.5,0.00463209
1,68.5,0.130876
2,68.5,0.0244304
3,68.5,0.0210315
4,68.5,0.0123579
5,68.5,0.0244304
6,68.5,0.0210315
7,68.5,0.0244304
8,68.5,0.130876
9,68.5,0.0244304
10,68.5,0.130876
11,68.5,0.00343095
12,68.5,0.000752929
13,68.5,0.00555822
14,68.5,0.000752929
15,68.5,0.130876
16,68.5,0.00343095
17,68.5,0.000752929
18,68.5,0.130876
19,68.5,0.00343095
20,68.5,0.0244304
21,68.5,0.00555822
1,69.5,0.137914
2,69.5,0.0280237
3,69.5,0.0222979
4,69.5,0.0140657
5,69.5,0.0280237
6,69.5,0.0222979
7,69.5,0.0280237
8,69.5,0.137914
9,69.5,0.0280237
10,69.5,0.137914
11,69.5,0.00386563
12,69.5,0.000788087
13,69.5,0.00664857
14,69.5,0.000788087
15,69.5,0.137914
16,69.5,0.00386563
17,69.5,0.000788087
18,69.5,0.137914
19,69.5,0.00386563
20,69.5,0.0280237
21,69.5,0.00664857
1,70.5,0.145231
2,70.5,0.0320627
3,70.5,0.0236388
4,70.5,0.0159786
5,70.5,0.0320627
6,70.5,0.0236388
7,70.5,0.0320627
8,70.5,0.145231
9,70.5,0.0320627
10,70.5,0.145231
11,70.5,0.00434986
12,70.5,0.000824886
13,70.5,0.00792785
14,70.5,0.000824886
15,70.5,0.145231
16,70.5,0.00434986
17,70.5,0.000824886
18,70.5,0.145231
19,70.5,0.00434986
20,70.5,0.0320627
21,70.5,0.00792785
1,71.5,0.152833
2,71.5,0.0365891
3,71.5,0.0250583
4,71.5,0.0181165
5,71.5,0.0365891
6,71.5,0.0250583
7,71.5,0.0365891
8,71.5,0.152833
9,71.5,0.0365891
10,71.5,0.152833
11,71.5,0.00488855
12,71.5,0.000863401
13,71.5,0.00942361
14,71.5,0.000863401
15,71.5,0.152833
16,71.5,0.00488855
17,71.5,0.000863401
18,71.5,0.152833
19,71.5,0.00488855
20,71.5,0.0365891
21,71.5,0.00942361
1,72.5,0.160722
2,72.5,0.0416467
3,72.5,0.0265607
4,72.5,0.0205008
5,72.5,0.0416467
6,72.5,0.0265607
7,72.5,0.0416467
8,72.5,0.160722
9,72.5,0.0416467
10,72.5,0.160722
11,72.5,0.005487
12,72.5,0.000903713
13,72.5,0.0111664
14,72.5,0.000903713
15,72.5,0.160722
16,72.5,0.005487
17,72.5,0.000903713
18,72.5,0.160722
19,72.5,0.005487
20,72.5,0.0416467
21,72.5,0.0111664
1,73.5,0.168903
2,73.5,0.047281
3,73.5,0.0281505
4,73.5,0.023154
5,73.5,0.047281
6,73.5,0.0281505
7,73.5,0.047281
8,73.5,0.168903
9,73.5,0.047281
10,73.5,0.168903
11,73.5,0.00615091
12,73.5,0.000945906
13,73.5,0.01319
14,73.5,0.000945906
15,73.5,0.168903
16,73.5,0.00615091
17,73.5,0.000945906
18,73.5,0.168903
19,73.5,0.00615091
20,73.5,0.047281
21,73.5,0.01319
1,74.5,0.177379
2,74.5,0.0535391
3,74.5,0.0298326
4,74.5,0.0261
5,74.5,0.0535391
6,74.5,0.0298326
7,74.5,0.0535391
8,74.5,0.177379
9,74.5,0.0535391
10,74.5,0.177379
11,74.5,0.00688642
12,74.5,0.000990066
13,74.5,0.0155314
14,74.5,0.000990066
15,74.5,0.177379
16,74.5,0.00688642
17,74.5,0.000990066
18,74.5,0.177379
19,74.5,0.00688642
20,74.5,0.0535391
21,74.5,0.0155314
1,75.5,0.186153
2,75.5,0.0604689
3,75.5,0.031612
4,75.5,0.029364
5,75.5,0.0604689
6,75.5,0.031612
7,75.5,0.0604689
8,75.5,0.186153
9,75.5,0.0604689
10,75.5,0.186153
11,75.5,0.00770012
12,75.5,0.00103629
13,75.5,0.018231
14,75.5,0.00103629
15,75.5,0.186153
16,75.5,0.00770012
17,75.5,0.00103629
18,75.5,0.186153
19,75.5,0.00770012
20,75.5,0.0604689
21,75.5,0.018231
1,76.5,0.195228
2,76.5,0.0681195
3,76.5,0.0334938
4,76.5,0.0329722
5,76.5,0.0681195
6,76.5,0.0334938
7,76.5,0.0681195
8,76.5,0.195228
9,76.5,0.0681195
